driver_name,category,match_count,latest_quote_date,sample_products,notes
草甘膦,农药,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
草铵膦,农药,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
菊酯,农药,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
麦草畏,农药,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
R125,氟化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
R134a,氟化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
R32,氟化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
六氟磷酸锂,氟化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
无水氟化铝,氟化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
氢氟酸,氟化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
萤石,氟化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
三氯乙烯,氯碱,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
甲烷氯化物,氯碱,1,2026-06-08,二氯甲烷,使用 Playwright 抓取生意社报价列表并按关键词匹配
电石,氯碱,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
环氧丙烷,氯碱/环氧丙烷,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
环氧氯丙烷,氯碱/环氧丙烷,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
DMF,煤化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
双氧水,煤化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
己内酰胺,煤化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
液氨,煤化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
醋酸,煤化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
醋酸乙烯,煤化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
磷矿石,磷化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
磷酸一铵,磷化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
磷酸二铵,磷化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
磷酸铁,磷化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
黄磷,磷化工,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
小苏打,纯碱,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
溴素,纯碱,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
DNT,聚氨酯,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
MDI,聚氨酯,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
TDI,聚氨酯,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
苯胺,聚氨酯,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
钛白粉,钛白粉,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
钛精矿,钛白粉,0,,,使用 Playwright 抓取生意社报价列表并按关键词匹配
