topic,query,driver_names,notes,is_active
纯碱,纯碱 库存 周报 厂家库存 行业周报,纯碱;山东海化;远兴能源;三友化工,优先找纯碱厂家库存/社会库存,1
尿素,尿素 库存 周报 企业库存 港口库存 行业周报,尿素;华鲁恒升;云天化;湖北宜化,优先找企业库存,1
PVC,PVC 库存 周报 社会库存 华东 华南,PVC;烧碱;中泰化学;新疆天业,优先找社会库存,1
PTA,PTA 库存 周报 社会库存 聚酯 开工率,PTA;PX;涤纶长丝,优先找PTA社会库存和聚酯开工,1
MEG,乙二醇 港口库存 周报 MEG 库存,乙二醇;涤纶长丝,优先找港口库存,1
制冷剂,R32 R125 R134a 库存 周报 配额 制冷剂 行业,R32;R125;R134a;氢氟酸,关注库存、配额和开工,1
钛白粉,钛白粉 库存 周报 厂家库存 开工率,钛白粉;钛精矿,关注厂家库存,1
磷化工,黄磷 磷酸一铵 磷酸二铵 库存 周报,黄磷;磷酸一铵;磷酸二铵;磷矿石,关注企业库存和开工,1
草甘膦,草甘膦 库存 周报 开工率 农药,草甘膦;草铵膦,关注库存和订单,1
有机硅,有机硅 DMC 库存 周报 工业硅 开工率,有机硅DMC;工业硅,关注DMC库存和工业硅库存,1
