ticker,company_name,sub_industry,driver_name,driver_weight,product_name,driver_direction,driver_share,exposure_type,report_year,report_date,review_status,proposed_capacity,proposed_capacity_unit,raw_capacity_text,confidence,confidence_score,candidate_type,matched_alias,has_capacity_term,distance_to_product,delimiter_count,evidence_page,candidate_context,source_type,source_url,source_announcement_url,source_pdf_file,announcement_title,announcement_id,review_decision,final_capacity,final_capacity_unit,review_note
000422.SZ,湖北宜化,煤化工,PVC,0.35,PVC,1,1.0,product_price,2025,2026-04-25,proposed_accept,90.0,万吨/年,90万吨/年,high,82.0,company_capacity,PVC,False,0.0,0.0,11.0,"化工、煤炭等产品的生产和销售，已形成完整的化工上下游产业链，主要产品产能包括尿素216万吨/年、磷铵165万吨/年、复合肥70万吨/年，烧碱94万吨/年、PVC90万吨/年、季戊四醇7万吨/年、煤炭3,000万吨/年，主要产品的产能均位于行业前列。（二）主要产品及用途公司主要从事尿素、磷铵、复合肥等化肥产品，聚氯乙烯等氯碱化工产品",cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000422&announcementId=1225183616&orgId=gssz0000422&announcementTime=2026-04-25,000422.SZ_湖北宜化_2026-04-25_1225183616_2025年年度报告.pdf,2025年年度报告,1225183616,,,,
000422.SZ,湖北宜化,煤化工,尿素,0.35,尿素,1,1.0,product_price,2025,2026-04-25,proposed_accept,216.0,万吨/年,216万吨/年,high,100.0,company_capacity,尿素,True,0.0,0.0,11.0,"—行业信息披露》中固体矿产资源业的披露要求（一）公司主营业务公司主营业务为化肥、化工、煤炭等产品的生产和销售，已形成完整的化工上下游产业链，主要产品产能包括尿素216万吨/年、磷铵165万吨/年、复合肥70万吨/年，烧碱94万吨/年、PVC90万吨/年、季戊四醇7万吨/年、煤炭3,000万吨/年，主要产品的产能均位于行业前列。（二）",cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000422&announcementId=1225183616&orgId=gssz0000422&announcementTime=2026-04-25,000422.SZ_湖北宜化_2026-04-25_1225183616_2025年年度报告.pdf,2025年年度报告,1225183616,,,,
000422.SZ,湖北宜化,煤化工,烧碱,0.3,烧碱,1,1.0,product_price,2025,2026-04-25,proposed_accept,94.0,万吨/年,94万吨/年,high,82.0,company_capacity,烧碱,False,0.0,0.0,11.0,"公司主营业务为化肥、化工、煤炭等产品的生产和销售，已形成完整的化工上下游产业链，主要产品产能包括尿素216万吨/年、磷铵165万吨/年、复合肥70万吨/年，烧碱94万吨/年、PVC90万吨/年、季戊四醇7万吨/年、煤炭3,000万吨/年，主要产品的产能均位于行业前列。（二）主要产品及用途公司主要从事尿素、磷铵、复合肥等化肥产品，聚",cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000422&announcementId=1225183616&orgId=gssz0000422&announcementTime=2026-04-25,000422.SZ_湖北宜化_2026-04-25_1225183616_2025年年度报告.pdf,2025年年度报告,1225183616,,,,
000830.SZ,鲁西化工,煤化工,双氧水,0.2,双氧水,1,1.0,product_price,2025,2026-04-29,needs_review_non_company_capacity,15.0,万吨/年,15万吨/年,low,16.0,project_or_change_capacity,双氧水,False,32.0,0.0,156.0,",775,519,470.461,775,519,470.4624万吨/年乙烯下游一体化项目（二期305,632,899.56305,632,899.56工程）15万吨/年丙酸项目232,673,896.90232,673,896.90双氧水装置安全整207,530,458.97207,530,458.97改项目其他项目786,4",cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-29/1225240339.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000830&announcementId=1225240339&orgId=gssz0000830&announcementTime=2026-04-29,000830.SZ_鲁西化工_2026-04-29_1225240339_2025年年度报告.pdf,2025年年度报告,1225240339,,,,
000830.SZ,鲁西化工,煤化工,尿素,0.3,尿素,1,1.0,product_price,2025,2026-04-29,missing_candidate,,万吨/年,,,,,,,,,,,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-29/1225240339.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000830&announcementId=1225240339&orgId=gssz0000830&announcementTime=2026-04-29,000830.SZ_鲁西化工_2026-04-29_1225240339_2025年年度报告.pdf,2025年年度报告,1225240339,,,,
000830.SZ,鲁西化工,煤化工,己内酰胺,0.3,己内酰胺,1,1.0,product_price,2025,2026-04-29,missing_candidate,,万吨/年,,,,,,,,,,,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-29/1225240339.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000830&announcementId=1225240339&orgId=gssz0000830&announcementTime=2026-04-29,000830.SZ_鲁西化工_2026-04-29_1225240339_2025年年度报告.pdf,2025年年度报告,1225240339,,,,
000830.SZ,鲁西化工,煤化工,甲醇,0.2,甲醇,1,1.0,product_price,2025,2026-04-29,needs_review_non_company_capacity,15.0,万吨/年,15万吨/年,low,0.0,project_or_change_capacity,甲醇,False,21.0,3.0,21.0,每日分析产耗、成本及盈利，对比计划、历史较好水平找差距，及时优化调整，努力挖潜，实施非常规举措。强化项目全过程管理，24万吨/年乙烯下游一体化项目（二期工程）、15万吨/年丙酸项目建成投产，取得较好效益，硫磺制酸、甲醇洗装置酸性气资源化利用等重点项目开工建设。聚焦材料产品高端领域应用，稳定生产运行、技术改造升级提升内在质量，抢占市,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-29/1225240339.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000830&announcementId=1225240339&orgId=gssz0000830&announcementTime=2026-04-29,000830.SZ_鲁西化工_2026-04-29_1225240339_2025年年度报告.pdf,2025年年度报告,1225240339,,,,
002092.SZ,中泰化学,氯碱,PVC,0.6,PVC,1,1.0,product_price,2025,2026-03-26,proposed_accept,260.0,万吨/年,260万吨/年,high,100.0,company_capacity,聚氯乙烯,True,2.0,0.0,15.0,点实验室1个。业过硬的成熟团队，为公司技术创新突破、高质量长远发展筑牢坚实人才根基。主要产品的产能情况主要产品设计产能产能利用率在建产能投资建设情况聚氯乙烯树脂260万吨/年98.00%无无离子膜烧碱186万吨/年95.00%无无粘胶纤维88万吨/年61.75%无无粘胶纱线320万锭/年86.92%无无甲醇100万吨/年89.76%,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-03-26/1225032750.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002092&announcementId=1225032750&orgId=9900001463&announcementTime=2026-03-26,002092.SZ_中泰化学_2026-03-26_1225032750_2025年年度报告.pdf,2025年年度报告,1225032750,,,,
002092.SZ,中泰化学,氯碱,烧碱,0.4,烧碱,1,1.0,product_price,2025,2026-03-26,proposed_accept,186.0,万吨/年,186万吨/年,high,86.0,company_capacity,烧碱,False,0.0,0.0,15.0,术创新突破、高质量长远发展筑牢坚实人才根基。主要产品的产能情况主要产品设计产能产能利用率在建产能投资建设情况聚氯乙烯树脂260万吨/年98.00%无无离子膜烧碱186万吨/年95.00%无无粘胶纤维88万吨/年61.75%无无粘胶纱线320万锭/年86.92%无无甲醇100万吨/年89.76%无无甲醇于2025年6月已全面投产，产能,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-03-26/1225032750.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002092&announcementId=1225032750&orgId=9900001463&announcementTime=2026-03-26,002092.SZ_中泰化学_2026-03-26_1225032750_2025年年度报告.pdf,2025年年度报告,1225032750,,,,
002145.SZ,中核钛白,钛白粉,钛白粉,0.8,钛白粉,1,1.0,product_price,2025,2026-04-29,proposed_accept,70.0,万吨/年,70万吨/年,high,100.0,company_capacity,钛白粉,True,43.0,0.0,14.0,员工钛白粉盐处理技术国内领先钛白粉大批量生产均为本公司在职员工硫酸法钛白粉生产技术国内领先主要产品的产能情况主要产品设计产能产能利用率在建产能投资建设情况钛白粉70万吨/年71.28%--磷酸铁10万吨/年41.09%--磷矿石50万吨/年90.61%--黄磷12万吨/年30.09%--主要化工园区的产品种类情况主要化工园区产品种,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-29/1225225963.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002145&announcementId=1225225963&orgId=9900003342&announcementTime=2026-04-29,002145.SZ_中核钛白_2026-04-29_1225225963_2025年年度报告.pdf,2025年年度报告,1225225963,,,,
002145.SZ,中核钛白,钛白粉,钛精矿,0.2,钛精矿,1,1.0,product_price,2025,2026-04-29,missing_candidate,,万吨/年,,,,,,,,,,,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-29/1225225963.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002145&announcementId=1225225963&orgId=9900003342&announcementTime=2026-04-29,002145.SZ_中核钛白_2026-04-29_1225225963_2025年年度报告.pdf,2025年年度报告,1225225963,,,,
002258.SZ,利尔化学,农药,吡啶,0.2,吡啶,1,1.0,product_price,2025,2026-03-28,missing_candidate,,万吨/年,,,,,,,,,,,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-03-28/1225039540.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002258&announcementId=1225039540&orgId=9900004975&announcementTime=2026-03-28,002258.SZ_利尔化学_2026-03-28_1225039540_2025年年度报告.pdf,2025年年度报告,1225039540,,,,
002258.SZ,利尔化学,农药,草甘膦,0.3,草甘膦,1,1.0,product_price,2025,2026-03-28,missing_candidate,,万吨/年,,,,,,,,,,,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-03-28/1225039540.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002258&announcementId=1225039540&orgId=9900004975&announcementTime=2026-03-28,002258.SZ_利尔化学_2026-03-28_1225039540_2025年年度报告.pdf,2025年年度报告,1225039540,,,,
002258.SZ,利尔化学,农药,草铵膦,0.5,草铵膦,1,1.0,product_price,2025,2026-03-28,missing_candidate,,万吨/年,,,,,,,,,,,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-03-28/1225039540.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002258&announcementId=1225039540&orgId=9900004975&announcementTime=2026-03-28,002258.SZ_利尔化学_2026-03-28_1225039540_2025年年度报告.pdf,2025年年度报告,1225039540,,,,
002601.SZ,龙佰集团,钛白粉,钛白粉,0.7,钛白粉,1,1.0,product_price,2025,2026-04-28,proposed_accept,151.0,万吨/年,151万吨/年,high,100.0,company_capacity,钛白粉,True,0.0,0.0,18.0,酸铁锂废料回用技术国内先进石墨负极大批量生产均为本公司在职员工石墨负极材料生产技术国内先进主要产品的产能情况主要产品设计产能产能利用率在建产能投资建设情况钛白粉151万吨/年84.53%--海绵钛8万吨/年89.11%--年产20万吨电池材料级磷酸铁项目三期(10磷酸铁10万吨/年86.23%10万吨/年万吨)厂房及土建基本完工，目,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-28/1225206979.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002601&announcementId=1225206979&orgId=9900020849&announcementTime=2026-04-28,002601.SZ_龙佰集团_2026-04-28_1225206979_2025年年度报告.pdf,2025年年度报告,1225206979,,,,
002601.SZ,龙佰集团,钛白粉,钛精矿,0.3,钛精矿,1,1.0,product_price,2025,2026-04-28,needs_review_non_company_capacity,144.78,万吨/年,144.78万吨,low,19.0,production_or_sales,钛精矿,False,0.0,0.0,32.0,铁精矿293.83万吨，同比减少2.13%；生产钛精矿144.78万吨，同比减少3.03%，全部内部使用；生产磷酸铁9.76万吨，比去年同期增加72.17%，销售磷酸铁9.60万吨，比去年同期增加58.93%。2、钛白粉行业供给宽,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-28/1225206979.PDF,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002601&announcementId=1225206979&orgId=9900020849&announcementTime=2026-04-28,002601.SZ_龙佰集团_2026-04-28_1225206979_2025年年度报告.pdf,2025年年度报告,1225206979,,,,
