driver_name,source_type,source_symbol,source_name,source_status,unit,frequency,is_active,priority,notes
ADC发泡剂,weekly_report_required,,ADC发泡剂,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
DMF,weekly_report_required,,DMF,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
DNT,weekly_report_required,,DNT,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
EVA,weekly_report_required,,EVA,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
MDI,weekly_report_required,,MDI,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
PTA,akshare_futures_inventory_em,PTA,PTA,exchange_proxy,吨,daily,1,1,东方财富期货库存，交易所仓单/库存 proxy
PTFE,weekly_report_required,,PTFE,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
PVC,akshare_futures_inventory_em,PVC,PVC,exchange_proxy,吨,daily,1,1,东方财富期货库存，交易所仓单/库存 proxy
PX,akshare_futures_inventory_em,对二甲苯,对二甲苯,exchange_proxy,吨,daily,1,1,东方财富期货库存，PX交易所库存 proxy
R125,weekly_report_required,,R125,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
R134a,weekly_report_required,,R134a,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
R32,weekly_report_required,,R32,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
TDI,weekly_report_required,,TDI,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
三氯乙烯,weekly_report_required,,三氯乙烯,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
六氟磷酸锂,weekly_report_required,,六氟磷酸锂,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
冰晶石,weekly_report_required,,冰晶石,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
原盐,weekly_report_required,,原盐,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
双氧水,weekly_report_required,,双氧水,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
吡啶,weekly_report_required,,吡啶,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
含氟聚合物,weekly_report_required,,含氟聚合物,manual_required,,weekly,0,5,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
