ticker,company_name,sub_industry,driver_name,driver_weight,mapping_basis,review_status
600346.SH,恒力石化,炼油化工,PTA,0.3,PTA/聚酯/PX链条，待年报产能和真实价差数据确认,candidate_needs_capacity_and_revenue_verify
600346.SH,恒力石化,炼油化工,PX,0.25,PTA/聚酯/PX链条，待年报产能和真实价差数据确认,candidate_needs_capacity_and_revenue_verify
600346.SH,恒力石化,炼油化工,涤纶长丝,0.25,PTA/聚酯/PX链条，待年报产能和真实价差数据确认,candidate_needs_capacity_and_revenue_verify
600346.SH,恒力石化,炼油化工,炼化价差,0.2,PTA/聚酯/PX链条，待年报产能和真实价差数据确认,candidate_needs_capacity_and_revenue_verify
002493.SZ,荣盛石化,炼油化工,PTA,0.35,炼化-PX-PTA-聚酯链条，待年报产能确认,candidate_needs_capacity_and_revenue_verify
002493.SZ,荣盛石化,炼油化工,PX,0.35,炼化-PX-PTA-聚酯链条，待年报产能确认,candidate_needs_capacity_and_revenue_verify
002493.SZ,荣盛石化,炼油化工,涤纶长丝,0.15,炼化-PX-PTA-聚酯链条，待年报产能确认,candidate_needs_capacity_and_revenue_verify
002493.SZ,荣盛石化,炼油化工,炼化价差,0.15,炼化-PX-PTA-聚酯链条，待年报产能确认,candidate_needs_capacity_and_revenue_verify
000301.SZ,东方盛虹,炼油化工,PTA,0.25,炼化/化纤/EVA多链条，待按产能拆分,candidate_needs_capacity_and_revenue_verify
000301.SZ,东方盛虹,炼油化工,涤纶长丝,0.3,炼化/化纤/EVA多链条，待按产能拆分,candidate_needs_capacity_and_revenue_verify
000301.SZ,东方盛虹,炼油化工,PX,0.2,炼化/化纤/EVA多链条，待按产能拆分,candidate_needs_capacity_and_revenue_verify
000301.SZ,东方盛虹,炼油化工,EVA,0.15,炼化/化纤/EVA多链条，待按产能拆分,candidate_needs_capacity_and_revenue_verify
000301.SZ,东方盛虹,炼油化工,炼化价差,0.1,炼化/化纤/EVA多链条，待按产能拆分,candidate_needs_capacity_and_revenue_verify
