ticker,company_name,sub_industry,pool_tier,driver_name,driver_weight,source_type,source_symbol,source_name,source_status,frequency,is_inventory_auto_available,unit,notes
000301.SZ,东方盛虹,炼油化工,B,EVA,0.15,weekly_report_required,,EVA,manual_required,weekly,False,,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
000301.SZ,东方盛虹,炼油化工,B,PTA,0.25,akshare_futures_inventory_em,PTA,PTA,exchange_proxy,daily,True,吨,东方财富期货库存，交易所仓单/库存 proxy
000301.SZ,东方盛虹,炼油化工,B,PX,0.2,akshare_futures_inventory_em,对二甲苯,对二甲苯,exchange_proxy,daily,True,吨,东方财富期货库存，PX交易所库存 proxy
000301.SZ,东方盛虹,炼油化工,B,涤纶长丝,0.3,akshare_futures_inventory_em,短纤,短纤,proxy,daily,False,吨,短纤库存不是涤纶长丝库存，只作弱代理，默认不启用
000301.SZ,东方盛虹,炼油化工,B,炼化价差,0.1,weekly_report_required,,炼化价差,manual_required,weekly,False,,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
000422.SZ,湖北宜化,煤化工,B,PVC,0.35,akshare_futures_inventory_em,PVC,PVC,exchange_proxy,daily,True,吨,东方财富期货库存，交易所仓单/库存 proxy
000422.SZ,湖北宜化,煤化工,B,尿素,0.35,akshare_futures_inventory_em,尿素,尿素,exchange_proxy,daily,True,吨,东方财富期货库存，交易所仓单/库存 proxy
000422.SZ,湖北宜化,煤化工,B,烧碱,0.3,akshare_futures_inventory_em,烧碱,烧碱,exchange_proxy,daily,True,吨,东方财富期货库存，交易所仓单/库存 proxy
000683.SZ,远兴能源,纯碱,B,小苏打,0.1,weekly_report_required,,小苏打,manual_required,weekly,False,,交易所库存暂未覆盖；建议用行业周报/机构数据每周维护
000683.SZ,远兴能源,纯碱,B,尿素,0.25,akshare_futures_inventory_em,尿素,尿素,exchange_proxy,daily,True,吨,东方财富期货库存，交易所仓单/库存 proxy
000683.SZ,远兴能源,纯碱,B,甲醇,0.1,akshare_futures_inventory_em,甲醇,甲醇,exchange_proxy,daily,True,吨,东方财富期货库存，交易所仓单/库存 proxy
000683.SZ,远兴能源,纯碱,B,纯碱,0.55,akshare_futures_inventory_em,纯碱,纯碱,exchange_proxy,daily,True,吨,东方财富期货库存，交易所仓单/库存 proxy
