ticker,company_name,sub_industry,pool_tier,driver_name,driver_weight,source_type,source_symbol,source_name,source_status,is_price_auto_available,unit,notes
000301.SZ,东方盛虹,炼油化工,B,EVA,0.15,manual_required,,EVA,manual_required,False,元/吨,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
000301.SZ,东方盛虹,炼油化工,B,PTA,0.25,akshare_futures_spot,TA,PTA,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000301.SZ,东方盛虹,炼油化工,B,PX,0.2,akshare_futures_spot,PX,PX,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000301.SZ,东方盛虹,炼油化工,B,涤纶长丝,0.3,akshare_futures_spot,PF,短纤,proxy,False,元/吨,PF是聚酯短纤，不是涤纶长丝；可作弱代理，默认不启用
000301.SZ,东方盛虹,炼油化工,B,炼化价差,0.1,synthetic_required,,炼化价差,synthetic_required,False,,需用原油/石脑油/PX/成品油等组合计算，当前不自动拉取
000422.SZ,湖北宜化,煤化工,B,PVC,0.35,akshare_futures_spot,V,PVC,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000422.SZ,湖北宜化,煤化工,B,尿素,0.35,akshare_futures_spot,UR,尿素,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000422.SZ,湖北宜化,煤化工,B,烧碱,0.3,akshare_futures_spot,SH,烧碱,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000683.SZ,远兴能源,纯碱,B,小苏打,0.1,manual_required,,小苏打,manual_required,False,元/吨,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
000683.SZ,远兴能源,纯碱,B,尿素,0.25,akshare_futures_spot,UR,尿素,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000683.SZ,远兴能源,纯碱,B,甲醇,0.1,akshare_futures_spot,MA,甲醇,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000683.SZ,远兴能源,纯碱,B,纯碱,0.55,akshare_futures_spot,SA,纯碱,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000703.SZ,恒逸石化,炼油化工,B,PTA,0.35,akshare_futures_spot,TA,PTA,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000703.SZ,恒逸石化,炼油化工,B,PX,0.2,akshare_futures_spot,PX,PX,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000703.SZ,恒逸石化,炼油化工,B,涤纶长丝,0.3,akshare_futures_spot,PF,短纤,proxy,False,元/吨,PF是聚酯短纤，不是涤纶长丝；可作弱代理，默认不启用
000703.SZ,恒逸石化,炼油化工,B,炼化价差,0.15,synthetic_required,,炼化价差,synthetic_required,False,,需用原油/石脑油/PX/成品油等组合计算，当前不自动拉取
000822.SZ,山东海化,纯碱,B,PVC,0.1,akshare_futures_spot,V,PVC,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000822.SZ,山东海化,纯碱,B,溴素,0.1,manual_required,,溴素,manual_required,False,元/吨,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
000822.SZ,山东海化,纯碱,B,烧碱,0.15,akshare_futures_spot,SH,烧碱,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000822.SZ,山东海化,纯碱,B,纯碱,0.65,akshare_futures_spot,SA,纯碱,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000830.SZ,鲁西化工,煤化工,B,双氧水,0.2,manual_required,,双氧水,manual_required,False,元/吨,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
000830.SZ,鲁西化工,煤化工,B,尿素,0.3,akshare_futures_spot,UR,尿素,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
000830.SZ,鲁西化工,煤化工,B,己内酰胺,0.3,manual_required,,己内酰胺,manual_required,False,元/吨,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
000830.SZ,鲁西化工,煤化工,B,甲醇,0.2,akshare_futures_spot,MA,甲醇,exact,True,元/吨,"AkShare futures_spot_price_daily, source 100ppi"
