driver_name,match_keywords,category,source_type,is_active,notes
MDI,MDI;聚合MDI;纯MDI,聚氨酯,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
TDI,TDI,聚氨酯,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
苯胺,苯胺,聚氨酯,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
R32,R32;二氟甲烷,氟化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
R125,R125;五氟乙烷,氟化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
R134a,R134a;四氟乙烷,氟化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
氢氟酸,氢氟酸;无水氢氟酸,氟化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
萤石,萤石;萤石粉,氟化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
无水氟化铝,无水氟化铝;氟化铝,氟化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
六氟磷酸锂,六氟磷酸锂,氟化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
钛白粉,钛白粉;金红石型钛白粉;锐钛型钛白粉,钛白粉,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
钛精矿,钛精矿,钛白粉,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
黄磷,黄磷,磷化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
磷矿石,磷矿石,磷化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
磷酸一铵,磷酸一铵;一铵,磷化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
磷酸二铵,磷酸二铵;二铵,磷化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
磷酸铁,磷酸铁,磷化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
草甘膦,草甘膦,农药,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
草铵膦,草铵膦,农药,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
麦草畏,麦草畏,农药,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
菊酯,菊酯;高效氯氟氰菊酯,农药,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
醋酸,醋酸;冰醋酸,煤化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
醋酸乙烯,醋酸乙烯;VAM,煤化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
DMF,DMF;二甲基甲酰胺,煤化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
己内酰胺,己内酰胺,煤化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
双氧水,双氧水,煤化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
液氨,液氨,煤化工,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
电石,电石,氯碱,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
环氧丙烷,环氧丙烷,氯碱/环氧丙烷,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
环氧氯丙烷,环氧氯丙烷,氯碱/环氧丙烷,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
小苏打,小苏打,纯碱,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
溴素,溴素,纯碱,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
DNT,DNT;二硝基甲苯,聚氨酯,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
三氯乙烯,三氯乙烯,氯碱,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
甲烷氯化物,甲烷氯化物;二氯甲烷;三氯甲烷,氯碱,100ppi_mprice,1,使用 Playwright 抓取生意社报价列表并按关键词匹配
