driver_name,source_type,source_symbol,source_name,source_status,price_field,unit,is_active,priority,notes
ADC发泡剂,manual_required,,ADC发泡剂,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
DMF,manual_required,,DMF,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
DNT,manual_required,,DNT,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
EVA,manual_required,,EVA,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
MDI,manual_required,,MDI,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
PTA,akshare_futures_spot,TA,PTA,exact,spot_price,元/吨,1,1,"AkShare futures_spot_price_daily, source 100ppi"
PTFE,manual_required,,PTFE,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
PVC,akshare_futures_spot,V,PVC,exact,spot_price,元/吨,1,1,"AkShare futures_spot_price_daily, source 100ppi"
PX,akshare_futures_spot,PX,PX,exact,spot_price,元/吨,1,1,"AkShare futures_spot_price_daily, source 100ppi"
R125,manual_required,,R125,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
R134a,manual_required,,R134a,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
R32,manual_required,,R32,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
TDI,manual_required,,TDI,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
三氯乙烯,manual_required,,三氯乙烯,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
六氟磷酸锂,manual_required,,六氟磷酸锂,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
冰晶石,manual_required,,冰晶石,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
原盐,manual_required,,原盐,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
双氧水,manual_required,,双氧水,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
吡啶,manual_required,,吡啶,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
含氟聚合物,manual_required,,含氟聚合物,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
复合肥,manual_required,,复合肥,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
多晶硅,akshare_futures_spot,PS,多晶硅,exact,spot_price,元/吨,1,1,"AkShare futures_spot_price_daily, source 100ppi"
小苏打,manual_required,,小苏打,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
尿素,akshare_futures_spot,UR,尿素,exact,spot_price,元/吨,1,1,"AkShare futures_spot_price_daily, source 100ppi"
工业硅,akshare_futures_spot,SI,工业硅,exact,spot_price,元/吨,1,1,"AkShare futures_spot_price_daily, source 100ppi"
己内酰胺,manual_required,,己内酰胺,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
无水氟化铝,manual_required,,无水氟化铝,manual_required,,元/吨,0,5,AkShare期现接口暂未覆盖；可后续接生意社网页、百川/卓创/隆众或手工CSV
